ID,RELACION
49152,017
49153,017
49154,017
49155,017
49156,017
49157,017
49158,017
49159,017
49160,017
49161,017
49162,017
49163,017
49164,017
49165,017
49166,017
49167,017
49168,018
49169,018
49170,018
49171,018
49172,018
49173,018
49174,018
49175,018
49176,018
49177,018
49178,018
49179,018
49180,018
49181,018
49182,018
49183,018
49184,018
49185,019
49186,019
49187,019
49188,019
49189,019
49190,019
49191,019
49192,019
49193,019
49194,019
49195,019
49196,019
49197,019
49198,019
49199,019
49200,019
49201,019
49202,019
49203,019
49204,019
49205,020
49206,020
49207,020
49208,020
49209,020
49210,020
49211,020
49212,020
49213,020
49214,020
49215,020
49216,020
49217,020
49218,020
49219,020
49220,020
49221,020
49222,021
49223,021
49224,021
49225,021
49226,021
49227,021
49228,021
49229,021
49230,021
49231,021
49232,021
49233,021
49234,021
49235,021
49236,021
49237,021
49238,021
49239,021
49240,021
49241,022
49242,022
49243,022
49244,022
49245,022
49246,022
49247,022
49248,022
49249,022
49250,022
49251,022
49252,022
49253,022
49254,022
49255,022
49256,022
49257,022
49258,022
49259,022
49260,023
49261,023
49262,023
49263,023
49264,023
49265,023
49266,023
49267,023
49268,023
49269,023
49270,023
49271,023
49272,023
49273,023
49274,023
49275,023
49276,023
49277,023
49278,023
49279,023
49280,024
49281,024
49282,024
49283,024
49284,024
49285,024
49286,024
49287,024
49288,024
49289,024
49290,024
49291,024
49292,024
49293,024
49294,024
49295,024
49296,024
49297,024
49298,024
49299,024
49300,025
49301,025
49302,025
49303,025
49304,025
49305,025
49306,025
49307,025
49308,025
49309,025
49310,025
49311,025
49312,025
49313,025
49314,025
49315,025
49316,025
49317,025
49318,025
49319,002
49320,002
49321,002
49322,002
49323,002
49324,002
49325,002
49326,002
49327,005
49328,005
49329,005
49330,005
49331,005
49332,005
49333,005
49334,005
49335,005
49336,005
49337,005
49338,005
49339,005
49340,005
49341,005
49342,005
